time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445900000	15.0546	3.42621	5.46828	0.581558	0.352977	lidar	0.555041	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2638	3.60234	5.16446	0.619352	0.386944	radar	2.2371	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4775	3.78237	5.22257	0.651571	0.406228	lidar	0.263141	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6876	3.91575	5.22113	0.656763	0.383084	radar	1.20716	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9122	4.04096	5.19745	0.653374	0.349915	lidar	0.38357	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1108	4.19314	4.92852	0.671837	0.354284	radar	0.848437	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3016	4.38607	4.99725	0.707878	0.381746	lidar	0.292926	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.513	4.554	5.2169	0.719946	0.36955	radar	0.77967	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6903	4.71173	5.15516	0.735161	0.364078	lidar	0.486406	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8501	4.87853	4.60857	0.765293	0.388516	radar	1.42301	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9999	5.11028	4.72459	0.821947	0.443885	lidar	0.770212	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1751	5.26397	4.86008	0.826403	0.41516	radar	1.58301	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3284	5.44375	4.84391	0.84948	0.418257	lidar	0.0854795	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4906	5.58986	4.75433	0.851949	0.390725	radar	2.6112	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6813	5.70175	4.6616	0.828588	0.328022	lidar	1.1493	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8341	5.87738	4.54502	0.848888	0.335625	radar	0.380079	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0016	6.08758	4.662	0.87657	0.353232	lidar	1.2415	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1556	6.29275	4.82559	0.90124	0.362574	radar	0.993578	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2725	6.56095	4.95637	0.96449	0.428737	lidar	1.01045	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4065	6.77277	4.88911	0.99232	0.440041	radar	0.274274	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5555	6.88907	4.68751	0.9696	0.373697	lidar	1.24961	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7048	7.10284	4.99113	0.984657	0.365147	radar	0.570321	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9129	7.23345	4.89417	0.943682	0.280313	lidar	3.41217	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0096	7.40743	4.39924	0.97107	0.304481	radar	3.05189	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0837	7.71205	4.63347	1.05384	0.403548	lidar	2.30911	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2081	7.91372	4.79902	1.06534	0.387603	radar	0.303711	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2817	8.143	4.79968	1.10721	0.418633	lidar	1.25592	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3783	8.35639	4.94434	1.12641	0.411099	radar	1.95221	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4791	8.48228	4.66801	1.1118	0.356525	lidar	2.909	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5774	8.67516	4.52152	1.12665	0.353814	radar	0.340344	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7409	8.85206	4.51544	1.10614	0.301417	lidar	3.90189	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.824	9.05647	4.33193	1.13217	0.320776	radar	0.720467	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9451	9.31128	4.52242	1.15549	0.335902	lidar	3.66197	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0035	9.50689	4.18597	1.18794	0.36405	radar	1.47919	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0753	9.77526	4.38961	1.23325	0.406484	lidar	1.51566	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1318	10.0418	4.78308	1.273	0.429569	radar	7.56619	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1703	10.3523	5.00389	1.33333	0.487835	lidar	1.03066	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1866	10.5845	4.67165	1.38262	0.533285	radar	2.38007	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2357	10.8767	4.87618	1.42256	0.556047	lidar	2.04565	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2515	11.163	5.17188	1.46383	0.570532	radar	4.66463	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2935	11.385	5.05636	1.47541	0.545374	lidar	0.159995	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2462	11.6195	4.52098	1.54881	0.631225	radar	8.09974	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.322	11.8348	4.47324	1.54457	0.58356	lidar	5.23751	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3331	12.0948	5.1783	1.55361	0.529474	radar	4.14655	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3112	12.4126	5.38658	1.59967	0.560459	lidar	0.531037	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2604	12.6458	4.87043	1.65982	0.629776	radar	2.51614	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3006	12.8501	4.70166	1.65713	0.581527	lidar	2.32862	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2995	13.0659	4.69427	1.67062	0.554303	radar	2.17059	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2713	13.2574	4.54809	1.69423	0.544896	lidar	0.775689	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.232	13.4954	4.77583	1.71816	0.529619	radar	1.3639	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2032	13.7744	4.92523	1.74347	0.532208	lidar	1.52557	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1546	13.9895	4.70624	1.77614	0.548169	radar	0.755184	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0888	14.263	4.87757	1.81215	0.564134	lidar	0.41764	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0149	14.4946	4.9152	1.84322	0.564039	radar	1.31084	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8914	14.7741	5.13821	1.89582	0.600927	lidar	0.800096	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8232	14.9927	5.17445	1.90708	0.555614	radar	3.37809	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8226	15.173	4.81769	1.89822	0.501793	lidar	2.48865	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7295	15.3315	3.96449	1.96755	0.617005	radar	6.02369	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7195	15.4819	3.74595	1.97015	0.576992	lidar	2.40388	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6552	15.6514	3.87131	1.98437	0.541463	radar	1.28011	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5126	15.9162	4.29107	2.03247	0.577552	lidar	0.92793	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.417	16.1205	4.52318	2.04087	0.522832	radar	1.72786	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2978	16.3146	4.52723	2.07346	0.531163	lidar	0.286218	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1894	16.4996	4.4385	2.10407	0.542422	radar	0.208725	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0226	16.7599	4.79714	2.1431	0.563554	lidar	0.588045	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8588	16.9552	4.61187	2.2195	0.685796	radar	6.41504	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6337	17.2488	5.19328	2.26717	0.710321	lidar	1.56196	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5438	17.4494	5.10075	2.22543	0.525485	radar	6.18903	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3079	17.669	5.36437	2.27384	0.552073	lidar	3.08783	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1538	17.8791	5.41003	2.27203	0.476002	radar	1.77769	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0667	18.0228	4.96896	2.28099	0.45626	lidar	1.43654	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9046	18.159	4.71555	2.33139	0.523276	radar	2.4863	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.821	18.2556	4.25999	2.3491	0.509084	lidar	0.761794	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7174	18.4069	4.12655	2.35467	0.473566	radar	6.22549	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4701	18.6427	4.70238	2.38482	0.484626	lidar	1.12147	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3042	18.7682	4.57005	2.42581	0.524053	radar	1.8153	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1536	18.8962	4.43949	2.4507	0.522069	lidar	0.0594464	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9888	19.0642	4.48999	2.46163	0.494627	radar	3.03833	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7502	19.2006	4.67941	2.50357	0.51536	lidar	2.87963	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5449	19.3664	4.8374	2.52917	0.524801	radar	3.2847	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2784	19.5627	5.21849	2.5517	0.518247	lidar	0.496498	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0565	19.642	5.10161	2.60964	0.577841	radar	10.2228	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8517	19.7831	5.08109	2.63041	0.568682	lidar	0.681783	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6836	19.8937	4.67354	2.63171	0.494254	radar	3.23662	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4256	20.069	5.00525	2.64326	0.475055	lidar	0.891041	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.1859	20.2306	5.15625	2.65103	0.447589	radar	5.22795	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.043	20.3302	4.81386	2.66774	0.445391	lidar	2.147	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8123	20.4111	4.88333	2.71032	0.487046	radar	2.29704	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6043	20.5251	4.85971	2.72753	0.478929	lidar	0.576013	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3472	20.6255	5.11425	2.76415	0.513969	radar	1.14454	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1068	20.6923	5.07439	2.79954	0.526243	lidar	0.692737	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8554	20.7735	5.1957	2.83311	0.54645	radar	0.169847	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5684	20.8398	5.31981	2.86745	0.552277	lidar	1.24769	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3038	20.8819	5.50383	2.9186	0.608123	radar	1.66262	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0851	20.8984	5.26067	2.96291	0.630875	lidar	0.408699	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8583	20.9566	5.0415	2.98232	0.606752	radar	2.05392	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7136	20.969	4.64134	3.02229	0.63115	lidar	2.12776	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4525	21.015	4.79761	3.04522	0.617769	radar	2.63142	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1998	21.0547	4.8635	3.06749	0.604679	lidar	0.181047	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9686	21.0719	4.87184	3.09904	0.611335	radar	0.897956	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7366	21.0349	4.80131	3.14976	0.639277	lidar	1.72767	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4984	21.0173	4.74928	3.18626	0.643111	radar	1.03027	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2963	21.0056	4.63092	3.22113	0.651001	lidar	0.482209	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0448	20.9648	4.68392	3.25972	0.655658	radar	4.13961	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8464	20.9234	4.57069	3.3021	0.672471	lidar	0.149198	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.6146	20.9114	4.21623	3.31296	0.623482	radar	5.05641	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2793	20.9708	4.62322	3.27683	0.519724	lidar	4.43104	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0477	20.9478	4.70421	3.29949	0.518908	radar	1.03917	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.88427	20.9039	4.47512	3.3407	0.546911	lidar	1.13516	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.68003	20.8786	4.14567	3.35353	0.516762	radar	0.896179	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.49945	20.836	4.07585	3.38279	0.523795	lidar	0.184049	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.29741	20.7857	4.32438	3.41317	0.538124	radar	1.50481	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91899	20.7846	4.83713	3.37208	0.431292	lidar	3.86778	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.7171	20.7007	4.79705	3.4164	0.467719	radar	4.28971	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.38767	20.6301	5.13109	3.41754	0.427703	lidar	2.91593	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.14615	20.5555	5.13473	3.44188	0.432878	radar	0.0629447	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.89768	20.4741	5.1502	3.46429	0.433226	lidar	0.0386753	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.66947	20.395	5.27703	3.49259	0.452367	radar	3.25039	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.30448	20.3448	5.63902	3.46726	0.37886	lidar	1.52583	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.04578	20.2572	5.46823	3.4818	0.36571	radar	0.303312	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.79924	20.1667	5.4336	3.50206	0.36944	lidar	0.0368613	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.5636	20.0778	5.31183	3.52016	0.368201	radar	0.606434	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.34783	19.9792	5.21428	3.54625	0.381514	lidar	0.184472	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.12866	19.8872	5.22942	3.56801	0.391722	radar	3.13665	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.87356	19.7903	5.27618	3.57797	0.377573	lidar	0.11097	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.60703	19.6536	5.63319	3.60388	0.394553	radar	1.25868	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.50569	19.5112	5.18833	3.6725	0.4755	lidar	2.89404	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3082	19.3616	5.14653	3.71014	0.497014	radar	1.8866	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11332	19.2568	5.05007	3.72877	0.492524	lidar	1.96807	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95598	19.1389	4.68566	3.75854	0.499588	radar	4.2212	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.82207	18.9915	4.54969	3.80662	0.53647	lidar	0.394139	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.6046	18.8421	4.91995	3.82448	0.526379	radar	1.66943	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.43035	18.7096	4.84924	3.84777	0.524857	lidar	0.910352	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.27533	18.5621	4.54545	3.87746	0.526476	radar	0.840351	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.16981	18.4143	4.3894	3.92691	0.564406	lidar	0.850639	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.9657	18.2471	5.11592	3.94284	0.554936	radar	5.52107	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
